rank,authority,url,title
1,0.15197320,http://www.sharif.ir/,
2,0.13223128,https://farhangi.sharif.ir/fa,
3,0.12497903,https://farhangi.sharif.ir/fa/special-events/rahe-roshan-camp,اردوی راه روشن - معاونت فرهنگی و اجتماعی
4,0.12497903,https://farhangi.sharif.ir/fa/special-events/sharif-salam,شریف سلام - معاونت فرهنگی و اجتماعی
5,0.12497903,https://farhangi.sharif.ir/fa/special-events/sharif-zibaye-man,شریف زیبای من - معاونت فرهنگی و اجتماعی
6,0.12497884,https://farhangi.sharif.ir/fa/%D8%AD%D9%85%D9%84%D9%87-%D8%A8%D9%87-%D8%B4%D8%B1%DB%8C%D9%81,حمله به شریف - معاونت فرهنگی و اجتماعی
7,0.12497828,https://farhangi.sharif.ir/fa/cultural-center/quran-and-etrat-center,کانون قرآن و عترت - معاونت فرهنگی و اجتماعی
8,0.12478534,https://farhangi.sharif.ir/fa/courses,کارگاه ها و دوره ها - معاونت فرهنگی و اجتماعی
9,0.12478534,https://farhangi.sharif.ir/fa/%D9%81%D9%84%D8%B3%D9%81%D9%87-%D8%B9%D9%84%D9%85,فلسفه علم - معاونت فرهنگی و اجتماعی
10,0.12478534,https://farhangi.sharif.ir/fa/%D8%AF%D8%A7%D9%86%D8%B4%DA%A9%D8%AF%D9%87-%D9%85%D9%87%D9%86%D8%AF%D8%B3%DB%8C-%D8%B5%D9%86%D8%A7%DB%8C%D8%B9,دانشکده مهندسی صنایع - معاونت فرهنگی و اجتماعی
