rank,out_degree,url,title
1,300,https://civil.sharif.ir/-courses-master,دروس کارشناسی ارشد - دانشکده مهندسی عمران
2,197,https://en.sharif.ir/en/courses,Courses - Sharif University of Technology
3,197,https://en.sharif.ir/courses,Courses - Sharif University of Technology
4,117,https://spri.sharif.ir/scholars/%D8%B9%D9%84%DB%8C-%D9%85%D9%84%DA%A9%DB%8C,پژوهشکده سیاستگذاری دانشگاه صنعتی شریف
5,115,https://farhangi.sharif.ir/,معاونت فرهنگی دانشگاه شریف - معاونت فرهنگی و اجتماعی
6,115,https://icst.sharif.ir/en/phd-students,PhD Students - پژوهشکده جامع علوم و فناوری های همگرا
7,106,https://www.mech.sharif.ir/faculty,اساتید - دانشکده مهندسی مکانیک
8,106,https://www.mech.sharif.ir/fa/faculty,اساتید - دانشکده مهندسی مکانیک
9,99,https://www.sharif.ir/fa/web/60th/%D9%85%D8%B5%D8%A7%D8%AD%D8%A8%D9%87,مصاحبه - بزرگداشت شصتمین سالگرد دانشگاه
10,99,https://www.sharif.ir/web/60th/%D9%85%D8%B5%D8%A7%D8%AD%D8%A8%D9%87,مصاحبه - بزرگداشت شصتمین سالگرد دانشگاه
